uniqueID,name,parent,shape,colour,definition,courses,concepts
75,Event,172,,r,"An event is a subset of the sample space of a random experiment. Ex: if the experiment is one roll of a dice. The sample space is: $#S = \{1, 2, 3, 4, 5, 6\}$
Let $*E_1$ be the event that the output is even. $#E_1 = \{2, 4, 6\}$
Let $*E_2$ be the event that the output is even. $#E_1 = \{1, 3, 5\}$",MSE238,78
76,Independence,75,d,v,"In informal terms, two events are independent if the occurrence of one does not affect the probability of occurrence of the other. $#$Mathematically, two events are independent if any one of the following equivalent statements are true:$#P(B|A) = P(B)$ $#P(A|B) = P(A)$ $#P(A \cap B) = P(A) * P(B)$",MSE238,117
77,Probability,75,d,v,A numerical measure of the likelihood of an event occurring. ,MSE238,75
78,Sample Space,172,,r,The set of all possible outcomes of a random experiment is called the sample space.,MSE238,172
79,Random Variables,5,,g,"A random variable is a variable that takes on different values; specifically, the values it takes are the outcomes of an experiment.",MSE238,"78, 75, 172"
80,Continuous Random Variables,79,,o,"A random variable is continuous if the possible values are not discrete, i.e. they lie on some interval in the real numbers. ",MSE238,79
81,Discrete Random Variables,79,,o,A random variable is discrete if its possible values form a discrete set.,MSE238,79
82,Functions of Random Variables,79,,g,-,MSE238,204
83,Functions of Discrete Random Variables,82,,o,-,MSE238,204
84,Functions of Continuous Random Variables,82,,o,-,MSE238,204
85,Probability Mass Function (PMF),83,,o,"A PMF is a function that assigns probabilities to each event in the sample space. If $*X$ is a random variable, and $*x$ is in the sample space, the PMF is $#f(x) = P(X = x)$ for all $*x$ in the sample space. ",MSE238,"204, 78, 77, 79"
86,Cumulative Distribution Function (CDF),83,,o,"A CDF is a function that gives the probability that a random variable $*X$ takes on a value less than some value $*x$.  The CDF for a discrete random variable $*X$ with possible values $*x_1, ... x_n$ is the function $*F(x)$ where: $#F(x_i)=P(X \leq x_i)= \sum_{j=1}^i f(x_j)$ The CDF is defined the same for discrete and continuous random variables. ","MSE238, MSE217","1688, 204, 78, 77, 79, 80, 81, 79"
87,PMF Mean,85,d,v,"The mean (or expected value) of a random variable measures the average value of the random variable. The mean of a discrete random variable $*X$ with support $*S_X = \{x_1, x_2, ... x_n\}$ is defined as: $#\mu = E[X] = \sum_{\forall i} x_i * f(x_i)$ Intuitively, it is an average of the values $*x_i$ in the range of $*X$ where the average is weighted by the probabilities of each value occurring. ","MSE238, MAT294, MSE217","55, 78, 77, 79, 86"
88,PMF Variance,85,d,v," The variance of a discrete random variable $*X$ measures the spread (or variability) of $*X$. It is denoted $*\sigma^2$ and can be calculated by:$#Var(X) = \sigma^2 = \sum_{x} (x - \mu)^2 \cdot p(x)$
$#Var(X) = \sigma^2 = E[(X - E[X])^2]$",MSE238,"62, 78, 77, 79, 86"
89,Probability Density Function (PDF),84,,o,The PDF is a function that measures the likelihood of a continuous random variable taking on values. The PDF is a continuous function and the total area under the curve is equal to 1. The PDF of a random variable $*X$ is a function $*f(x)$.,MSE238,"209, 79"
90,PDF Mean,89,,v,"The mean (or expected value) of a random variable measures the average value of the random variable. The mean of a continuous random variable is calculated using the PDF. It is calculated by the integral of the product of $*x$ and $*f(x)$ over the entire range. It is calculated by: $#\mu = \int_{-\infty}^{\infty} x \cdot f(x) \, dx$","MSE238, MAT294, MSE217","55, 214, 89"
91,PDF Variance,89,,v,"The variance of a continuous random variable $*X$ measures the spread (or variability) of $*X$. It is denoted $*\sigma^2$ and can be calculated by: $#\sigma^2 = \int_{-\infty}^{\infty} (x - \mu)^2 \cdot f(x) \, dx$",MSE238,"62, 214, 89"
92,Cumulative Distribution Function (CDF),84,,o,"A CDF is a function that gives the probability that a random variable $*X$ takes on a value less than some value $*x$.  The CDF for a discrete random variable $*X$ with possible values $*x_1, ... x_n$ is the function $*F(x)$ where: $#F(x_i)=P(X \leq x_i)= \sum_{j=1}^i f(x_j)$ The CDF is defined the same for discrete and continuous random variables. ","MSE238, MSE217","1688, 79"
93,Distributions of Random Variables,79,,g,-,MSE238,79
94,Finding an Appropriate Distribution,93,,g,-,MSE238,93
95,Central Limit Theorem (CLT),93,,b,The Central Limit Theorem states that the distribution of a sample variable approximates a normal distribution when the sample is adequately large.,MSE238,104
96,Probability Plots,94,,o,Probability plots are used to understand data and to choose a distribution.,MSE238,93
97,Probability Distributions,93,,o,The probability distribution of a random variable $*X$ is a description of the probabilities associated with the possible values of $*X$.,"MSE238, MSE217",1662
98,Discrete Probability Distributions,97,,o,-,MSE238,83
99,Continuous Probability Distributions,97,,o,-,MSE238,84
100,Bernoulli Distribution,98,,o,"The Bernoulli distribution models an experiment with two possible outcomes, (1: success, 2: failure) and the probability of success is denoted by p. The PMF is: $#P(X = x) = p^x * (1-p)^(1-x),  x \in \{0, 1\}$ The mean is: $#E[X] = p$ The variance is $#Var(X) = p(1-p)$",MSE238,"89, 90, 91, 103"
101,Binomial Distribution,98,,o,"A binomial distribution models the number of successes in a fixed number of Bernoulli trials. The variable $*n$ is the number of trials and $*k$ is the number of successes. The probability of success in the Bernoulli trial is $*p$. The PMF is: $#P(X = k) = C(n, k) * p^k * (1-p)^(n-k)$ where $*k = 0, 1, 2, ..., n$ The mean is: $#E[X] = n*p$ The variance is $#Var(X) = n*p(1-p)$",MSE238,"89, 90, 91"
102,Poisson Distribution,98,,o,"The Poisson distribution models the number of events occurring in a fixed interval of time or space. The PMF is: $#P(X = k) = \frac{e^{-\lambda} * \lambda^k}{k!}$ where $*k = 0, 1, 2, ...$ The mean is: $#E[X] = \lambda$ The variance is: $#Var(X) = \lambda$",MSE238,"89, 90, 91"
103,Bernoulli Trial,100,,r,A Bernoulli Trial is a random experiment with two outcomes: success and failure. ,MSE238,100
104,Normal Distribution,99,,o,"Also known as Gaussian distribution. It is a bell shaped curve and describes a wide range of natural distribution results. The PDF is: $#f(x) = \frac{1}{\sigma \sqrt{2\pi}} \, e^{-\frac{(x-\mu)^2}{2\sigma^2}}$ The mean is: $# E[X] = \mu$ The variance is: $#Var[X] = \sigma^2$",MSE238,"89, 90, 91, 1688"
105,T Distribution,99,,o,"Also known as Student's t-distribution. Used where the sample size is small and the standard deviation is unknown. The PDF is: $#f(x) = \frac{{\Gamma\left(\frac{{\nu + 1}}{2}\right)}}{{\sqrt{\nu\pi} \, \Gamma\left(\frac{\nu}{2}\right)}} \left(1 + \frac{x^2}{\nu}\right)^{-\frac{{\nu + 1}}{2}}$ The mean and variance of a t-distribution depend on the degrees of freedom. If $*\nu > 1$ the mean is $*0$. The variance is $*\frac{\nu}{\nu-2}$ for $*\nu > 2$",MSE238,"89, 90, 91"
106,Lognormal Distribution,99,,o,"The lognormal distribution models random variables whose logarithms follow a normal distribution. The PDF is: $#f(x) = \frac{1}{x \sigma \sqrt{2\pi}} \, e^{-\frac{(\ln(x) - \mu)^2}{2\sigma^2}}$ The mean is: $#E[X] = e^{\mu + \frac{\sigma^2}{2}}$ The variance is: $# Var(X) = (e^{\sigma^2} - 1) e^{2\mu + \sigma^2}$",MSE238,"89, 90, 91"
107,Exponential Distribution,99,,o,"The exponential distribution models the time between events in a Poisson process, where events occur randomly and independently at a constant average rate. The PDF is: $#f(x) = \lambda e^{-\lambda x}$ The mean is: $#E[X] = \frac{1}{\lambda}$ The variance is: $#Var(X) = \frac{1}{\lambda^2}$",MSE238,"89, 90, 91"
108,Uniform Distribution,99,,o,"The uniform distribution models a random variable where all values within a specified range are equally likely. The PDF is: $#f(x) = \frac{1}{b - a}$ for $*a \leq x \leq b$,
   and $*f(x) = 0$ Otherwise, the mean is: $#E[X] = \frac{a + b}{2}$ The variance is: $#Var(X) = \frac{(b - a)^2}{12}$",MSE238,"89, 90, 91"
109,Gamma Distribution,99,,o,"The gamma distribution models positive, continuous random variables and is characterized by its shape and scale parameters. The PDF is: $#f(x) = \frac{1}{{\Gamma(k) \cdot \theta^k}} \cdot x^{k-1} \cdot e^{-\frac{x}{\theta}}$ The mean is: $#E[X] = k \cdot \theta$ The variance is: $#Var(X) = k \cdot \theta^2$",MSE238,"89, 90, 91"
110,Weibull Distribution,99,,o,"The Weibull distribution models the time between events, or time before failure. The PDF is: $#f(x) = \frac{k}{\lambda} \left(\frac{x}{\lambda}\right)^{k-1} e^{-(x/\lambda)^k}$ The mean is: $#E[X] = \lambda \cdot \Gamma\left(1+\frac{1}{k}\right)$ Where $*\Gamma$ denotes the gamma function. The variance is: $#Var(X) =$ $#\lambda^2 \left[ \Gamma\left(1+\frac{2}{k}\right) - \left(\Gamma\left(1+\frac{1}{k}\right)\right)^2 \right] $",MSE238,"89, 90, 91"
111,Chi Squared Distribution,99,,o,"The chi-squared distribution is the sum of squares of $*k$ independent standard normal variables. The PDF is: $#f(x) = \frac{1}{{2^{k/2} \Gamma(k/2)}} \cdot x^{(k/2)-1} \cdot e^{-x/2}$ where $*f(x)$ represents the probability density at a given value $*x$, and $*k$ is the degrees of freedom parameter. The mean is: $# E[X] = k$ The variance is: $# Var(X) = 2k$",MSE238,"89, 90, 91"
112,Chi Squared Table,111,,g,"The chi-squared table lists the critical values for the chi-squared distribution. The columns are the degrees of freedom, and the rows are the different levels of significance $*\alpha$ (i.e 0.01, 0.05, ..)",MSE238,115
113,Standard Normal Distribution,104,,o,"The standard normal distribution is a normal distribution which has been standardized to have a mean of $*0$ and a standard deviation of $*1$. The PDF is: $#f(x) = \frac{1}{\sqrt{2\pi}} \, e^{-\frac{x^2}{2}}$ The mean is: $*E[X] = 0$ and the variance is $*Var(X) = 1$",MSE238,"89, 90, 91"
114,Six Sigma Quality Control,104,,b,The upper and lower specification limits of a standard normal distribution are at a distance of $*6 \sigma$ from the mean. ,MSE238,"113, 90, 91"
115,Standard Normal Table,113,,g,"A standard normal table, also called the unit normal table or Z table, is a mathematical table for the values of $*\phi$, where $*\phi$ is the cumulative distribution function of the normal distribution.",MSE238,112
116,Probability,5,,g,A numerical measure of the likelihood of an event occurring. ,MSE238,75
117,Conditional Probability,116,,o,"The probability of an event occurring given that some other event has occurred. The conditional probability of event $*B$ given event $*A$, denoted as $*P(B|A)$, is: $#P(B|A) = \frac{P(A \cap B)}{P(A)}$
","MSE238, MSE218",116
118,Bayes Theorem,117,,b,Bayes theorem relates the two conditional probabilities $*P(A|B)$ and $*P(B|A)$ with the following formula: $#P(A|B) = \frac{P(A) * P(B|A)}{P(B)} $,"MSE238, MSE218",116
119,Axioms of Probability,116,,b,There are three axioms of probability. ,MSE238,116
120,Probability of Sample Space,119,,o,Let $*S$ be the sample space. $*P(S) = 1$,MSE238,116
121,Probability of an Event,119,,o,Let $*A$ be an event in a sample space. $*0 \leq P(A) \leq1$,MSE238,"116, 75"
122,Mutual Exclusion Rule,119,,o,"If events $*A$ and $*B$ are mutually exclusive:
$#P(A \cup B) = P(A) + P(B)$",MSE238,116
123,Probability Rules,116,,b,-,MSE238,116
124,Multiplication Rule,123,,o,"If there are multiple unrelated events, each with a number of possible outcomes or ways, they can be multiplied by the number of outcomes from each to get the number of ways of the events together. $#$ Suppose there are $*k$ events with $*n_i$ being the number of ways to do event $*i$. Then the total number of ways to do all the events is: $#n_1 * n_2 * ... * n_k$",MSE238,"116, 75"
125,Addition Rule,123,,o,If $*A$ and $*B$ are events: $*P(A \cup B) = P(A) + P(B) - P(A \cap B)$,MSE238,"116, 75"
126,Law of Total Probability,123,,o,"For any two events $A$ and $B$: $#P(B) = P(B \cap A) + P(B \cap A')$
$#P(B) = P(B|A)P(A) + P(B|A')P(A)$ This extends to an arbitrary number of events: $# P(B) = P(B \cap E_1) + P(B \cap E_2) + ... + P(B \cap E_k)$
         $#P(B) = P(B|E_1)P(E_1) + P(B|E_2)P(E_2) + ... + P(B|E_k)P(E_k)$",MSE238,"116, 75"
127,Bayes Theorem,123,,o,Bayes theorem relates the two conditional probabilities $*P(A|B)$ and $*P(B|A)$ with the following formula: $#P(A|B) = \frac{P(A) * P(B|A)}{P(B)} $,MSE238,"116, 117"
128,Probability of Empty Set is 0,123,,o,$*P(\emptyset) = 0$,MSE238,116
129,Compliment Rule,123,,o,"If $*A$ and $*A'$ are complementary events, then: $#P(A) = 1 - P(A')$",MSE238,116
130,Numerical Methods,5,,o,Numerical methods approximate solutions or bound where a solution would lie.,MSE238,"1405, 131, 143, 140, 146, 167, 136"
131,Non-Linear Roots Finding Methods,130,,o,Used to solve for the roots of non-linear equations when an exact solution (using analytical solution) is not possible. ,MSE238,"130, 132, 133, 134, 135"
132,Explicit Analytical Solution,131,,o,"The explicit analytical solution method is when $*f'(x)$ is set to zero, and then $*x$ can be solved through isolation. ",MSE238,131
133,Secant Method,131,,o,"This method is similar to the Newton-Raphson Method but it does not require the computation of derivatives. Instead of using the tangent, it uses the secant. Which is the line passing between two points. The secant will eventually converge to an approximately zero point.  $# $ The method begins with two initial guesses  $*x_0$ and  $*x_1$. The next step is found using the following step:  $#x_2 = x_1 - \frac{f(x_1)*(x_1 - x_0)}{f(x_1) - f(x_0)}$ Then, $*x_0$ is updated to $*x_1$ and $*x_1$ is updated to $*x_2$. The process is repeated until it reaches a threshold. ","MSE238, MAT294","131, 134"
134,Newton Raphson Method,131,,o,The idea is to use the tangent line of the function at a point to find a closer point. The algorithm begins with an initial guess $*x_0$. $#$ The function  $*f(x_0)$ and its derivative  $*f'(x_0)$ are found at that point. $#$ The algorithm steps in the direction  $*x_1 = x_0 - \frac{f(x_0)}{f'(x_0)}$. Use $*x_1$ in the next iteration. Repeat this until the step size is smaller than some threshold $*\epsilon$.  $#$ This method is simple and fast but the drawback is that the derivative of a function needs to be calculated and there may be some error involved in certain functions. ,"MSE238, MAT294","131, 133"
135,Bisection Method,131,,o,"This algorithm begins with two $*x$ values, and it looks for a root in between them. Let $*x_1$ and $*x_2$ be in the domain and let $*x_1 < x_2$. $#$ If $*f(x_1) * f(x_2)$ is less than zero, that means that one is positive, and the other is negative, meaning there is a root between the. If this is true, take the midpoint between $*(x_1) * (x_2)$. $#$ Let $*x_3$ be the midpoint, found by $*\frac{1}{2} *(x_1 * x_2)$. The algorithm then checks if $*f(x_1) * f(x_3) < 0$ and $*f(x_3) * f(x_2) < 0$. $#$ If either of those are true, the process repeats through that interval. The algorithm stops when the difference of $*x_i$ values is less than some $*\epsilon$ value. ","MSE238, MAT294",131
136,Interpolation and Curve Fitting Methods,130,,o,Curve fitting is used to fill missing data. A curve is fitted to the data to interpolate and extrapolate the data.  ,MSE238,"130, 137, 138, 139"
137,Polynomial Interpolation,136,,o,Polynomial interpolation is a method used to approximate a function or data set by fitting a polynomial curve with degree $*n$ that passes through a set of points. ,MSE238,"136, 149, 150"
138,Piece Wise Interpolation,136,,o,Piecewise interpolation is used to approximate a function that exhibits different behaviours in different regions (a piecewise function). The method is done by constructing a piecewise curve that consists of different polynomial segments within specific intervals.,MSE238,"136, 139, 151, 152"
139,Cubic Splines,136,,o,Cubic Splines interpolation approximated a function by using piecewise cubic polynomial segments. ,MSE238,"136, 138"
140,Numerical Integration and Differentiation,130,,o,-,"MSE238, MAT294","130, 141, 142"
141,Numerical Differentiation,140,,o,Numerical methods for determining the derivative of a function. ,"MSE238, MAT294","212, 1642, 140, 153, 167"
142,Numerical Integration,140,,o,Numerical methods for determining the integral of a function between two points $*a$ and $*b$. ,"MSE238, MAT294","214, 216, 215, 1640, 140, 167"
143,Numerical Solutions to ODEs,130,,o,Numerical methods that provide ways to solve ODEs when analytical solutions cannot be used. ,"MSE238, MAT294, MSE217","420, 389, 393, 144, 145"
144,Runge-Kutta Methods,143,,o,Runge-Kutta methods are a family of numerical methods that provide more accurate approximations than Euler's method.,MSE238,"420, 389, 162, 163"
145,Modified Euler's Method,143,,o,The modified Euler's Method approximates the solution by taking small steps along the derivative function at each point. The method is based on the first-order Taylor series expansion.,"MSE238, MAT294","420, 389, 153"
146,Numerical Solutions to PDEs,130,,o,Numerical methods provide ways to solve PDEs when analytical solutions cannot be used.,"MSE238, MAT294, MSE217","392, 389, 130, 399, 417, 147, 148"
147,Finite Difference Method,146,,o,Finite difference methods approximate derivatives using difference quotients and convert the ODE into a system of algebraic equations.,MSE238,"392, 389, 146"
148,Finite Element Method,146,,o,Finite element methods discretize the solution domain into smaller elements and approximate the solution within each element using basis functions. The ODE is then transformed into a system of algebraic equations to solve for the unknown coefficients.,"MSE238, MSE222, MSE218","392, 389, 146"
149,Power Form Polynomial,137,,o,"Interpolation from a power form polynomial involves determining the coefficients of the polynomial that passes through a given set of data points. The power form polynomial is defined as: $*P(x) = a_0 + a_1x + a_2x^2 + \ldots + a_nx^n$ $#$ To evaluate coefficients, $*a_i$, solve a system of nonlinear equations. The Vandermonde matrix is multiplied by the coefficient vector, and algebraic methods (e.x. Gaussian elimination, LU decomposition, matrix inversion) are used to solve for the coefficients. ",MSE238,"137, 343"
150,Lagrange Polynomial,137,,o,"Lagrange polynomial interpolation constructs a polynomial function that passes through the given data points by using Lagrange basis polynomials. The Lagrange basis polynomials, denoted as $*L_i(x)$, are defined as follows: $#L_i(x) = \prod_{j=0, j \neq i}^n \frac{x - x_j}{x_i - x_j}$ where $*x_i$ represents the $*i^{th}$ data point's x-coordinate.",MSE238,"137, 343"
151,Cubic Hermite,138,,o,"Cubic Hermite interpolation approximates a function, using both function values and derivatives at those points. It constructs a piecewise cubic polynomial curve that passes through the given data points while preserving the shape and continuity of the function.",MSE238,138
152,Linear,138,,o,-,MSE238,138
153,Taylor Series Expansion,141,,g,"Taylor series expansion represents a function as an infinite sum of terms, where each term is a derivative of the function evaluated at a specific point. The Taylor series provides an approximation of the function around a chosen point. $#$ The Taylor series expansion of a function $*f(x)$ around a point $*a$ is given by: $*f(x) = f(a) + f'(a)(x - a) + \frac{f''(a)}{2!}(x - a)^2 + \ldots$","MSE238, MAT294","145, 141, 164, 165, 166, 167"
154,Methods of Deriving Area Under Curve,142,,o,-,"MSE238, MAT294","214, 216, 215, 155, 156, 157, 158, 159, 160, 161"
155,Composite Rectangular Method,154,,o,Left hand and right hand Reimann sum method. This will over or underestimate the area. ,"MSE238, MAT294","214, 216, 215, 154"
156,Midpoint Method,154,,o,Midpoint Reimann sum method.,"MSE238, MAT294","214, 216, 215, 154"
157,Trapezoidal Method,154,,o,Reimann sum method where rectangles are connected with triangles to obtain a more accurate result. ,"MSE238, MAT294","214, 216, 215, 154"
158,Simpson's Method,154,,o,"The function is divided into subintervals, and each subinterval is approximated using a quadratic polynomial. Then, Simpson's Rule is applied to find the integral of each quadratic function. The integrals are summed to obtain the final approximation. ","MSE238, MAT294","214, 216, 215, 154"
